id,resourceType,title,description,startDate,endDate,Month,Year,Area/Region,Location,State 1,State 2-?,reference/s,EM-DAT?,Report,Journals,Databases,Websites,Newspaper,Missing data,Evacuated,Affected,Homeless,Injuries,Deaths,Insured Cost,Reported cost,Calls to SES,Train(s) damaged,Train(s) destroyed,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Bridge(s) damaged,Bridge(s) destroyed,Aircraft damaged,Aircraft destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Water vessel(s) damaged,Water vessel(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Roads,Ports,Environmental,Male death,Female death,Children,Adults,Elderly,url,References,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
same as 70??,Severe Storm,Storm and flood,,1/03/1978,2/03/1978,March,1978,North Coast,New South Wales,New South Wales,,wiki; ICA; EM-DAT; Weeks (2007),12,0,1,2,1,0,,1500,,15,2,1,5000000,15000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,ICA,5,10,18,,,,,,,,,EM-DAT,,
,Severe Storm,Severe storm and flash floods,,5/06/1978,6/06/1978,June,1978,Sydney,New South Wales,New South Wales,,wiki; EM-DAT; ICA; PDF - newspaper,7,0,0,2,1,1,,,25000,60,10,2,21000000,16107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,EM-DAT,5,13,18,,,,,,,,,ICA,,
,Bushfire,,,13/02/1979,28/02/1979,February,1979,"ACT, Gouldburn,Yass, Mittagong, New South Wales",Australian Captitol Territory; New South Wales,New South Wales,Australian Capitol Territory,EM-DAT; newspaper; http://www.firebreak.com.au/1979fire.html; http://www.firebreak.com.au/jeff_cutting-bushfires.html,1,0,0,1,2,1,2,,,,,,,4090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,newspaper,7,18,61,,,,,,,,,http://www.firebreak.com.au/1979fire.html,,
271,Cyclone,Cyclone Hazel,"Tropical Cyclone Hazel formed off the north-west Kimberley coast and reached maximum gusts of 137 km per hour at Carnarvon.  The cyclone caused an estimated $20 million worth of damage including $5 million to wharf and salt loading equipment at Cape Cuvier and $2 million to the banana crop in Carnarvon. A crew of 15 on a Taiwanese fishing boat was lost in heavy seas, 230 km north of Barrow Island. Considerable damage also occurred to buildings, trees, pasture and stock feed in the northern agricultural area especially around Geraldton.  The Insurance Council of Australia estimated the 1979 damage at $15 million, with the 2011 estimated normalised cost of $202 million.",1/03/1979,1/03/1979,March,1979,NW Kimberley coast ,Western Australia,Western Australia,,"EM-Track; ICA; EM-DAT; wiki; Oliver, (1979)",16,0,1,3,1,0,,,2000,10,5,15,19000000,41000000,,,,600,,,,,,,,,,,1,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=271,EM-Track,ICA,9,14,22,28,,,,,,,,EM-DAT,wiki,
,Cyclone,Cyclone Kerry ,KerryÊwas a remarkable tropical cyclone having a long life-span and erratic track. It is also notorious for being only one of two cyclones in the Australian region to have an airplane (a US NOAA research aircraft) fly into the cyclone (the other being TCÊRosaÊ). Indeed a wind speed of 252 km/h measured by this aircraft at an altitude of 540 m was at that time one of the strongest low-level winds measured in a cyclone in the Australian area.,13/02/1979,6/03/1979,March,1979,Mackay,Queensland,Queensland,,wiki; Oliver & Walker (1979); http://www.bom.gov.au/cyclone/history/kerry79.shtml; PDF - newsaper; Sheets and Holland (1981) *report requested*,,1,1,0,2,1,2,,,,,,,2500000,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,wiki,Oliver & Walker (1979),5,29,82,98,,,,,,,,http://www.bom.gov.au/cyclone/history/kerry79.shtml,PDF - newsaper,
,Earthquake,Earthquake,"The second-most damaging earthquake in the history of Western Australia injured one person and struck 25 buildings in the wheatbelt town of Cadoux, 180km northeast of Perth. Roads, railway lines, pipes and power lines were damaged in an area of about 400 sq km, at an estimated total cost of $3.8 million (at the time). A fault, 15km long, opened on the Earth's surface - significant because only about 12 earthquakes in Australia's modern history have caused the ground to rupture. Tall buildings swayed in Perth, and mercury spilled at the Rottnest Island lighthouse.",2/06/1979,2/06/1979,June,1979,Cadoux,Western Australia,Western Australia,,ICA; EM-DAT; http://www.seismicity.see.uwa.edu.au/welcome/seismicity_of_western_australia/wa_historical/cadoux; http://www.australiangeographic.com.au/journal/australias-worst-earthquakes-top-10-most-devastating.htm,6,0,0,2,2,0,,,,,,,3800000,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICA,EM-DAT,4,12,111,,,,,,,,,http://www.seismicity.see.uwa.edu.au/welcome/seismicity_of_western_australia/wa_historical/cadoux,,
460,Severe Storm,Hail - Port Broughton,"On 14 November 1979 Port Broughton sustained damaged by a line of ferocious storms that hit south-eastern South Australia. Very strong winds and hail ruined solid brick houses, holiday shacks and caravans. Cars were pushed sideways along the road. Pine trees up to 30 m tall were uprooted.  There was no loss of life during the event which was considered to be amazing. Eleven people were injured requiring hospital admission, 60 others required hospital treatment.  While Port Broughton incurred the most damage, other areas were also affected by this weather event. Destruction was felt from the mid north to northern Adelaide Plains. Clare experienced severe damage; houses lost their roofs and sheds were demolished in the high winds. Likewise the northern suburbs of Adelaide saw houses unroofed and the trees blown over in areas such Salisbury North, Parafield Gardens, and Munno Para.  The agriculture industry was severely impacted with crops damaged, glass houses broken, grape vines stripped, storage tanks squashed, orchards destroyed and many farmers livelihoods built up over many years were lost within ten minutes.  According to the Bureau of Meteorology Regional Forecasting Centre, the thunderstorm triggered by the trough line that extended across Yorke Peninsula moved over Port Broughton and produced destructive winds. The winds at all levels through the atmosphere were very strong. A thunderstorm is classified as severe if it produces wind gusts of 90 km per hour of more. On this day gusts were much higher with reports of 135 km per hour to 160 km per hour. Isolated large hail coming from very cold air high above the earth's surface was rapidly transported to the surface by downdrafts and accompanied the thunderstorms associated with the trough immediately to the east causing damage to some of Adelaide&rsquo;s northern suburbs.  The Insurance Council of Australia estimated the 1979 damage at $10 million, with the 2011 normalised cost of $92 million.",14/11/1979,14/11/1979,November,1979,Port Broughton,South Australia,South Australia,,EM-Track; ICA; EM-DAT; wiki,16,0,0,3,1,0,2,,5000,150,71,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=460,EM-Track,ICA,9,14,22,,,,,,,,,EM-DAT,,
336,Bushfire,Bushfire - Sydney and Region,"In December 1979, New South Wales experienced its driest period since 1972. A heatwave combined with dry conditions caused the outbreak of fires in the first week of December. In the following weeks a number of incidents were reported in towns such as Duffys Forest, Lucas Heights, Terry Hills, Ingleside, Belrose, Elanora Heights, Lithgow, Mount Wilson, Mount Tomah and Grose Valley. A number of these fires were deliberately lit by arsonists.  The fires caused widespread damage to millions of hectares of land. Critical infrastructure including communication equipment, roads, property fencing and railways were damaged or destroyed. Twenty-eight homes were destroyed, 20 homes were damaged. Five deaths were attributed to the fires.",1/12/1979,1/02/1980,February,1980,Sydney and Region,New South Wales; Australian Capitol Territory,New South Wales,Australian Capitol Territory,ICA; EM-DAT; EM-Track; PDF - newspaper; report,6,1,0,3,0,3,,372,5000,,10,5,5500000,4090000,,,,20,28,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=336,ICA,EM-DAT,4,12,22,39,,,,,,,,EM-Track,PDF - newspaper,
592,Bushfire,Bushfire - Mount Lofty Ranges,"On 20 February 1980 in the Mount Lofty Ranges, east of Adelaide there was a fire described as an early Ash Wednesday. This fire began two weeks prior in a rubbish dump south-south-east of Adelaide. It smouldered until 20 February when hot winds fanned the fire which burnt 8000 ha in one day. The fire destroyed 51 homes, the Anglican church at Longwood and 75 farms along with orchards and market gardens. The damage bill was estimated at more than $30 million. Court cases were held to ascertain who was responsible for this fire and they went on for over ten years.  The Insurance Council of Australia estimated the 1980 damage as $13 million, with the 2011 estimated normalised cost of $132 million.",20/02/1980,20/02/1980,February,1980,Mount Lofty Ranges,South Australia,South Australia,,wiki; EM-Track; ICA; EM-DAT,22,0,0,3,1,0,,,500,150,40,,13000000,34000000,,,,,51,,1,,,,,,,,,,75,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=592,wiki,EM-Track,5,15,20,,,,,,,,,ICA,,
,Bushfire,Bushfire - Sydney and Wollongong,"On the 3 November 1980 at approximately 5 am, firefighters responded to a fire incident near Waterfall New South Wales. A fire tanker was trapped by the blaze, which had spread up from a nearby gully and was out of control. The five firefighters aboard the vehicle were subsequently killed.",3/11/1980,3/11/1980,November,1980,Sydney and Wollongong,New South Wales,New South Wales,,bushfire history; http://www.theleader.com.au/story/1234238/heat-stirs-memory-of-tragic-bushfires/,,1,0,0,1,0,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bushfire history,,17,,,,,,,,,,,,,
,Cyclone,Cyclone Amy,"AmyÊcrossed the coast near Pardoo Station about 110 km east of Port Hedland at 10am on the 10th a central pressure of 915 hPa. Six hours later Amy passed very close to the mining town of Goldsworthy where a mean sea level pressure of 932 hPa was recorded and gusts were estimated at 200-240 km/h. Severe damage to company housing, buildings and mining equipment was the beginning of the end for Goldsworthy which has since been dismantled. Total losses, including property damage and industrial disruption, were estimated at around $25 million. No lives were lost, nor injury sustained.",5/01/1980,11/01/1980,January,1980,"Port Headland, Pilbara region",Western Australia,Western Australia,,PDF; ICA; EM-DAT; Pearman (1988),11,1,0,3,0,0,,,,,5,,2700000,3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF,ICA,4,9,17,,,,,,,,,EM-DAT,,
,Cyclone,Cyclone Dean,"Extensive damage resulted at Port Hedland. The towns of Goldsworthy, Marble Bar and Mt Newman all suffered wind damage but not to the same extent as Port Hedland. Many of the pastoral stations up to 500 km from the coast were considerably damaged. Non-industrial insurance claims for damage were estimated to total $2.2 million. Two men were lost overboard from a Taiwanese fishing boat (Hsin Ho Chung 101) about 330 km west of Broome early on 1 February. Wave action caused damage to solar salt manufacturing ponds near Port Hedland, with estimated losses of $12 million. A prawn fishing boat was sunk in Port Hedland harbour. Flooding between Port Hedland and Mt Newman caused damage to the roads and the railway line. Damage estimates at Mt Newman and along the railway line were of the order of $1.6 million. Total damage and industrial losses due to Dean were estimated to be about $20 million.",28/01/1980,5/02/1980,February,1980,Pilbara region,Western Australia,Western Australia,,BOM; ICA; EM-DAT; Pearman (1988),11,2,0,2,0,0,,,,,7,2,2500000,11000000,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,BOM,ICA,4,9,17,,,,,,,,,EM-DAT,,
,Cyclone ,Cyclone Enid,Severe damage to buildings and windmills occurred at Wallal station and cattle valued at $200 000 were drowned in the ocean. The only structure left standing was the stone homestead but it had no roof or windows left. At Shay Gap severe damage was sustained to blocks of flats and houses which were unroofed. Fortunately no lives were lost and only minor injuries were sustained. The total damage loss due to Enid was estimated to be of the order of several million dollars.,15/02/1980,18/02/1980,February,1980,Pilbara region,Western Australia,Western Australia,,BOM; em-dat; wiki,6,1,0,1,1,0,,,,,,,4605000,5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOM,em-dat,4,12,,,,,,,,,,,,
471,Severe Storm,Hail - Brighton,"A severe storm caused hail damage in northern Brisbane, Bracken Ridge, and extensive damage to 5000 homes in Brighton.  The Insurance Council of Australia estimated the 1980 damage at $15 million, with the 2011 estimated normalised cost of $238 million.",16/12/1980,16/12/1980,December,1980,Brighton,Queensland,Queensland,,ICA; wiki; EM-DAT; EM-Track; PDF - newspaper,12,0,0,3,1,3,2,,25000,500,10,,15000000,,,,,5000,,,,,,15,25,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=471,ICA,wiki,4,10,18,28,,,,,,,,EM-DAT,EM-Track,
,Severe Storm,,,29/12/1980,29/12/1980,December,1980,Sydney and suburbs,New South Wales,New South Wales,,PDF - newspaper; Rasuli (1996) - thesis,,0,1,0,0,1,2,,,,,,,50000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF - newspaper,,16,,,,,,,,,,,,,
,Flood,,,5/01/1981,15/01/1981,January,1981,Babinda district,Queensland,Queensland,,EM-DAT; PDF - newspaper,1,0,0,1,0,1,2,,,,,2,,15000000,,,,,,,,,,,,,,,,,,200000 tonnes sugar cane,,,,,,,,,,,EM-DAT,,7,,,,,,,,,,,,,
361,Flood,Flood - Dalby,"Flooding in the wake of an ex-tropical cyclonic depression resulted in heavy damage in the Dalby township and surrounding area. Heavy rainfall over the Myall creek catchment created serious flooding for the town of Dalby, the highest recorded at a height of 4.5 m. Approximately 2000 homes were inundated with water and there was considerable damage to the grain growing districts. One death was recorded.  The Insurance Council of Australia estimated the 1981 damage at $20 million, with the 2011 estimated normalised cost of $205 million.",1/02/1981,1/02/1981,February,1981,Dalby,Queensland,Queensland,,wiki; ICA; EM-DAT; EM-Track; PDF - newspaper; QLD flood history,12,1,0,3,1,4,,1500,10000,1000,5,1,20000000,49000000,,1000m train line,,2000,,,,,,,,,,,,,,,,,,,1,,,,1,http://www.emknowledge.gov.au/resource/?id=361,wiki,ICA,5,10,18,28,45,,,,,,,EM-DAT,EM-Track,PDF - newspaper
,Flood,,,30/07/1981,30/08/1981,August,1981,Echuca,Victoria,Victoria,,EM-DAT; PDF - newspaper,1,0,0,1,0,1,2,,,,,,,150000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,,7,,,,,,,,,,,,,
,Heatwave,,,1/02/1981,1/02/1981,February,1981,South-East Australia,South Australia; Victoria,South Australia,Victoria,wiki; Reeves (2010),,0,1,0,1,0,2,50000,,,200,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,,5,,,,,,,,,,,,,
,Severe Storm,,,29/11/1981,29/11/1981,November,1981,SEQ and N NSW,Queensland; New South Wales,Queensland,New South Wales,EM-DAT; PDF - newspaper,1,0,0,1,0,2,2,,,,,,,7895000,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,,7,,,,,,,,,,,,,
,Bushfire,,"Following hot, dry conditions and many smaller bushfire outbreaks from mid-January, by mid-February a state of emergency was declared as 20 major and many smaller bushfires burned throughout the State, including a very large one in the Broardmarsh - Kempton area, and caused $5.35m (1982 values) insured damage and resulted in one death (a firefighter), two serious, and a number of minor injuries. Two houses, six shacks and 38 farm outbuildings were destroyed. Apart from 3000 sheep killed, there was damage to farm equipment, fences, 5000 ha of pastures, large areas of forest and some construction equipment. ",15/01/1982,15/02/1982,February,1982,Broardmarsh - Kempton area,Tasmania,Tasmania,,"PDF - report; Ellis et al., (2004); http://home.iprimus.com.au/foo7/firestas.html",,1,1,0,1,0,2,,200,,10,1,,5350000,,,,,8,,38,,,,,,,,,,,,3000,,,,,,,,,,PDF - report,"Ellis et al., (2004)",13,35,,,,,,,,,,,,
,Cyclone,Cyclone Bruno and flood,"As Bruno moved through the northwest only minor damage occurred through a combination of wind and rain, however, severe damage was inflicted in the southwest of Western Australia by extensive flooding. The Collie and Blackwood Rivers in the southwest became raging torrents, with the Blackwood reaching its highest level since 1955. Many bridges were washed away and there was extensive road and rail damage. Many farms were completely inundated and a number of towns were flooded. These included Collie, Cranbrook, Tambellup, Kojonup, Katanning, Boyup Brook, Bridgetown, Nannup and Darradup. The worst affected town was Nannup where 75 houses were flooded, many of them to the roof-top. It was reported that 100 000 sheep were lost, mostly through hypothermia. Total damage was estimated at about $10 million (1982 dollars).",15/01/1982,20/01/1982,January,1982,SW WA,Western Australia,Western Australia,,Pearman (1988); wiki ($3.6mil); http://www.bom.gov.au/cyclone/history/bruno.shtml,,1,0,0,2,0,2,,,,,,,10000000,,,,75,,,,,,,,,,,,,,,100000,,,,,,,,,,Pearman (1988),wiki ($3.6mil),15,31,,,,,,,,,,,,
,Cyclone,Cyclone Dominic,"Winds were estimated to have reached 185 km/h at Edward River Mission with some damage to buildings and power lines. At Aurukun damage was assessed at $200,000 and severe damage to natural vegetation was reported from the Cape Keer-Weer area. While there was evidence of a significant storm surge in the Cape Keer-Weer area no quantitative data are available. Tide levels of almost 1.0 m above the predicted value were recorded at Weipa and almost 1.5 m below at Karumba.",5/04/1982,7/04/1982,April,1982,Gulf of carpenteria,Queensland; Northern Territory,Queensland,Northern Territory,BOM; EM-DAT; PDF - newspaper; Callaghan - gulf impacts,6,2,0,1,0,1,2,,,,,,,3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOM,EM-DAT,4,12,29,,,,,,,,,PDF - newspaper,,
,Severe Storm,,,15/11/1982,15/11/1982,November,1982,Melbourne,Victoria,Victoria,,wiki; ICA; EM-DAT; PDF - newspaper,12,0,0,2,1,2,,40000,,50,25,2,10000000,19000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wiki,ICA,5,10,18,,,,,,,,,EM-DAT,,
,Severe Storm,,"Wind gusts reached 121 km/hr and caused extensive damage to 250 buildings, overturned aircraft, uprooted trees and caused flash flooding after 59mm. Damage estimated at $3.7 million.",29/12/1982,29/12/1982,December,1982,Moree,New South Wales,New South Wales,,http://www.bom.gov.au/nsw/sevwx/8089summ.shtml,,0,0,0,1,0,2,,,,,,,3700000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Severe Storm,,,15/12/1982,,December,1982,Southern QLD,Queensland,,,EM-DAT; http://www.bom.gov.au/qld/flood/fld_history/brisbane_history.shtml,1,0,0,1,1,0,2,,,,,,,11767000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EM-DAT,,7,,,,,,,,,,,,,
347,Bushfire,Bushfire - Sydney and Southern Regions,"Two houses, six shacks and 38 farm outbuildings were destroyed. Apart from 3000 sheep killed, there was damage to farm equipment, fences, 5000 ha of pastures, large areas of forest and some construction equipment.",1/01/1983,31/01/1983,January,1983,Sydney and Southern Regions,New South Wales,New South Wales,,EM-Track; http://www.theleader.com.au/story/1234238/heat-stirs-memory-of-tragic-bushfires/; ellis kanowski and whelan (2004),,0,1,1,1,0,2,,,,6,3,,12000000,,,,,2,,,,,,,,,,,,,,,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=347,EM-Track,http://www.theleader.com.au/story/1234238/heat-stirs-memory-of-tragic-bushfires/,9,91,,,,,,,,,,,,
131,Bushfire,Bushfire - Ash Wednesday,"Prior to the events on Ash Wednesday a ten month drought had dried the eastern Australian forests out. On 16 February itself, there was low humidity, heat wave conditions and strong to gale force winds. Temperatures varied between high thirties and mid forties over most of eastern South Australia and Victoria with relative humidity generally less than 15 per cent.  The Victorian bushfire season had started in November 1982. There were 854 bushfires reported at this time including, Ballan, Mount Macedon on 1 February, Cann River and Mount Donna Buang.  On early Ash Wednesday morning there were 104 fires already burning in Victoria most controlled or contained, it was only after 2.00 pm that the situation exploded.  The Victorian fires formed several complexes.  1. Western district near Warrnambool. This fire started from a defective private power line. The resulting fire front was kilometres wide and moving at frightening speed. A cool change came through at 5.00 pm and the wind changed to the south-west. The fire headed toward the town of Terang. The fire passed the town to its north and was brought under control the next day. In total nine people died, 50,000 hectares burnt, 157 houses destroyed and 19,300 livestock was lost.  Another person died near Branxholme from a smaller fire caused by power line fault.  2. East Trentham&nbsp;- Macedon fire complex. This fire began around 2.00 pm near East Trentham due to two powerlines touching and sparking. The fire moved to the Wombat State Forest and burnt much of Bullengarook. The fire stalled for a while but upon wind change to the south-west the fire picked up again and headed toward Woodend with a 7 m fire front at 8.30 pm. It reached Macedon where people and animals sheltered in the Hotel protected by volunteers. The rest of the town was annihilated. After reaching the top of Mount Macedon it was controlled in an area that was previously burnt on 1 February. Seven people died, 20,000 hectares burnt, 200 homes destroyed in Macedon, 150 on Mount Macedon, 50 in Bullengarook and 20 in Woodend.  3. Otways complex. The fire broke out approximately 3.00 pm at Deans Marsh and moved toward Lorne eventually onto the ridges above the town on and down to the sand dunes with many people taking refuge in the sea. The fire moved to Aireys Inlet where the fibro houses were hit by walls of flame and a gigantic firestorm. The fire moved at extraordinary speed and next hit was Anglesea, where houses were lost but the main part of town was saved. The fire burnt on through the night toward Jan Juc and Torquay and was eventually contained early morning near Bellbrae. Three people were killed and 578 houses and other buildings were lost.  4. Upper Beaconsfield - Cockatoo complex. This fire began in Belgrave Heights south of Mount Dandenong. Half an hour later 10 km away, a fire started in Cockatoo and remained static until later that night. The first fire moved 15 km toward Berwick and Pakenham and firefighters were just beginning to gain control when the wind change came through at 8.30 pm redirecting the fire towards Upper Beaconsfield. Firefighters were caught in terrible circumstances leading to deaths. The Cockatoo fire began to flare at 7.30 pm. The fire went right through the town of Cockatoo as fire trucks had been called away to other fires. There were reports of women and children being sheltered and saved at a local kindergarten. The kindergarden&nbsp;building was later&nbsp;recorded by Heritage Victoria as a building of significance to be protected.&nbsp;In total, 27 people died, 100 were injured and 535 houses and buildings destroyed.  5. Warburton complex. This fire erupted in the foothills of mountain ash forests. The fire began in Millgrove at 7.30 pm and quickly progressed to Warburton. Approximately 200 people took shelter at the local oval and a creek in underground tunnel. Thirty houses were destroyed.  In Victoria in summary, 47 people died, 150,000 hectares burnt, 1620 houses burnt and more than 1500 other buildings were destroyed and 32,400 livestock lost.  South Australia  Major fires were burning by noon on Ash Wednesday, particularly in the Adelaide Hills, Clare Valley 120 km north of Adelaide, and around Mount Gambier, the south-east of the state. By 3.00 pm the situation was extreme. The cold front then hit with winds at 90 to 100 km per hour and the intensity of the fires worsened again. By 9.00 pm rain began to fall and the fires in the Adelaide hills came under control. The fires near Mount Gambier took longer. In total 28 people died, including three CFS volunteer fire fighters, more than 1500 people injured, 383 homes and 200 other buildings destroyed and 160,000 hectares burnt.  The Insurance Council of Australia estimated the 1983 damage for Victoria at $138 million and South Australia at $38 million with the 2011 estimated normalised cost of $1489 million for Victoria and $307 million for South Australia.",16/02/1983,18/02/1983,February,1983,Victoria and South Australia,Victoria;South Australia,Victoria,South Australia,EM-Track; em-dat; ICA; Valent (1984); McKay 1983,11,0,2,1,0,0,,,250000,9000,1500,75,176000000,324000000,,,,,2000,,,,,,,,,,,,,,30000,,,,,,,,,http://www.emknowledge.gov.au/resource/?id=131,EM-Track,em-dat,9,17,22,37,,,,,,,,ICA,Valent (1984),
,Cyclone,Cyclone Jane,"Jane cased minor damage only. At Port Hedland, Goldsworthy and Telfer a few buildings were unroofed and trees were uprooted. Pardoo station suffered extensive damage to the out camp building and also some stock losses caused both by flooding and by drowning of stock on the coast. Minor flooding occurred in the De Grey River Basin. Two workmen aboard a drilling ship were slightly injured.",2/01/1983,11/01/1983,January,1983,"Port Hedland, Goldsworthy and Telfer",Western Australia,Western Australia,,bom; PDF - newspaper; wiki,,1,0,0,1,1,2,,,,2,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bom,PDF - newspaper,4,21,,,,,,,,,,,,
,Flood,,,1/05/1983,30/06/1983,June,1983,,Queensland,Queensland,,PDF - newspaper; http://www.bom.gov.au/qld/flood/fld_history/floodsum_1980.shtml,,0,0,0,1,3,2,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF - newspaper,,16,,,,,,,,,,,,,
,Flood,,,20/02/1983,4/03/1983,March,1983,Barrossa valley,South Australia,South Australia,,wiki; PDF - newspaper; Engineering and Water Supply Dept (1983) *requested report*; EM-DAT,85,1,0,0,1,1,2,,10000,,10,,,7000000,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,wiki,PDF - newspaper,5,22,83,,,,,,,,,Engineering and Water Supply Dept (1983) *requested report*,,
,Severe Storm,,,10/01/1983,10/01/1983,January,1983,Chinchilla,Queensland,Queensland,,Pearman (1988); Callaghan and Butler (2011); EM-DAT,46,2,0,0,0,0,,,,,,,2000000,1984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pearman (1988),Callaghan and Butler (2011),15,44,,,,,,,,,,,,
,Severe Storm,,,2/05/1983,4/05/1983,May,1983,Melbourne,Victoria,Victoria,,Pearman (1988); Callaghan and Butler (2011),,2,0,0,0,0,2,,,,,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pearman (1988),,15,,,,,,,,,,,,,
,Severe Storm,Tornado,,4/06/1983,4/09/1983,September,1983,Perth and Bunbury,Western Australia,Western Australia,,"Pearman (1988); EM-DAT; ICA; Perth storms; PDF - newspaper : This is confusing, pearman reports as from June-Sep, EM-DAT just Sep (tornado backed up by newspaper) and Perth storms is just June??",17,2,0,2,0,1,2,100000,,,8,,5773000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,Pearman (1988),EM-DAT,15,23,28,42,,,,,,,,ICA,Perth storms,
,Severe Storm,Hail storm,,29/09/1983,29/09/1983,September,1983,North-west Sydney,New South Wales,New South Wales,,ICA; http://australiasevereweather.com/storm_news/1999/docs/9907-01.htm : reported in the original ICA excel sheet I downloaded but is not on the one online.,,0,0,1,1,0,2,,,,,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICA,,4,,,,,,,,,,,,,
,Severe Storm OR FLOOD?,,,8/09/1983,20/09/1983,September,1983,North and West VIC,Victoria,Victoria,,wiki; PDF - newspaper,,0,0,0,1,2,2,40,,,,,,3000000,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,wiki,,5,,,,,,,,,,,,,
,Cyclone,Cyclone Kathy,"Though a powerful storm, only light to moderate rains fell along the cyclone's path with totals generally less than 100Êmm (3.9Êin). The remnants, however, triggered thunderstorms nearÊTennant CreekÊthat produced 325Êmm (12.8Êin) of rain in 24Êhours. Reports indicate that several sea turtles andÊdugongsÊwere washed up to 8Êkm (5.0Êmi) inland by Kathy's surge. The only population center significantly affected by the storm wasÊBorroloola, where moderate to severe damage took place.[9]At least one home was destroyed and many more were damaged in the town.[13]ÊAlong the mouth of theÊMcArthur River, near where Kathy struck the mainland, the combination of severe winds and storm surge killed 80% (±20%) of theRhizophoraceaeÊmangroveÊtrees in the region. Along the entire length of the river, 45% (±15.3%) of theÊRhizophoraceae,ÊBruguieraÊandÊCeriopsÊas well as 18.5% (±11.4%) of theÊExoecaria agallocha,ÊLumnitzera racemosaÊandÊAvicennia marinaperished.[7]ÊIn all, losses from the storm were placed at A$12Ê,million (A$30.5Êmillion 2011ÊAUD;[nb 1]ÊUS$24.1Êmillion 2011ÊUSD[nb 2]).[14]",16/04/1984,24/04/1984,March,1984,Gulf of carpenteria,Queensland; Northern Territory,Queensland,Northern Territory,ICA; http://en.wikipedia.org/wiki/Cyclone_Kathy; http://news.google.com/newspapers?id=-K1WAAAAIBAJ&sjid=hegDAAAAIBAJ&dq=cyclone%20kathy&pg=5416%2C5693822,,0,0,1,2,0,,,2000,400,2,1,5000000,12000000,,,,,1,,,,,,,,,20,1,,,,,,,,,,,,,,ICA,http://en.wikipedia.org/wiki/Cyclone_Kathy,4,48,,,,,,,,,,,,
